Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
WAIRA-10000,javiera95@montesinos.net,paid,2023-01-09 14:24:30.000000 UTC,fulfilled,2023-01-11 13:24:30.000000 UTC,false,PEN,342.88,10,0,352.88,,0.0,Estándar,2023-01-09 13:24:30.000000 UTC,1,Saco Lucía Mujer - Blanco - M,157.58,,SACO-LUC-BLA-M,true,true,fulfilled,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,,,,Mercado Pago,b18c9352-789c-49f9-8cf8-43b85f48d4e1,0,WAIRA,1.4765590144445925e+19,,Low,web,0,,,,,,,,,,,+34723810124,,,Lima (Departamento),Lima (Departamento),a638909c-38fb-4aa7-9027-415cc36976dd,,,
WAIRA-10000,javiera95@montesinos.net,paid,2023-01-09 14:24:30.000000 UTC,fulfilled,2023-01-11 13:24:30.000000 UTC,false,PEN,342.88,10,0,352.88,,0.0,Estándar,2023-01-09 13:24:30.000000 UTC,1,Casaca Araceli - Verde - S,94.4,147.93,CASA-ARA-VER-S,true,true,fulfilled,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,,,,Mercado Pago,8270bd5b-1454-448e-b266-0b50f6106ce3,0,WAIRA,1.5463059475469058e+19,,Low,web,0,,,,,,,,,,,+34723810124,,,Lima (Departamento),Lima (Departamento),8bb50a26-0ba8-4fde-adbd-ecb9035e4854,,,
WAIRA-10000,javiera95@montesinos.net,paid,2023-01-09 14:24:30.000000 UTC,fulfilled,2023-01-11 13:24:30.000000 UTC,false,PEN,342.88,10,0,352.88,,0.0,Estándar,2023-01-09 13:24:30.000000 UTC,1,Pantalón Diego Hombre - Verde - S,90.9,109.32,PANT-DIE-VER-S,true,true,fulfilled,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,Rodolfo Llorens Fernández,Ronda de Yolanda Carranza 342 Apt. 73 ,Ronda de Yolanda Carranza 342 Apt. 73 ,,,Lince,47372,PE-LIM,PE,+34723810124,,,,Mercado Pago,4653e0cb-e426-4a2a-bbed-df31e89513d7,0,WAIRA,1.0029024981496842e+19,,Low,web,0,,,,,,,,,,,+34723810124,,,Lima (Departamento),Lima (Departamento),0e29f59e-1440-4b40-9470-a372c762fc38,,,
WAIRA-10001,gilalba@yahoo.com,paid,2024-05-20 04:47:08.000000 UTC,fulfilled,2024-05-22 03:47:08.000000 UTC,true,PEN,184.93,10,0,194.93,,0.0,Estándar,2024-05-20 03:47:08.000000 UTC,1,Pantalón Andrea Mujer - Blanco - XS,184.93,,PANT-AND-BLA-XS,true,true,fulfilled,Carmelo Orozco Ocaña,C. de Rita Agullo 5 Piso 7 ,C. de Rita Agullo 5 Piso 7 ,,,Magdalena,83098,PE-LIM,PE,+34 715 75 95 16,Carmelo Orozco Ocaña,C. de Rita Agullo 5 Piso 7 ,C. de Rita Agullo 5 Piso 7 ,,,Magdalena,83098,PE-LIM,PE,+34 715 75 95 16,,,,Yape,e20d502c-6690-4ac3-9600-c8b610b04b63,0,WAIRA,1.9976729920203843e+18,,Low,web,0,,,,,,,,,,,+34 715 75 95 16,,,Lima (Departamento),Lima (Departamento),f22e8792-a4b8-4ecf-8515-39101e239dcb,,,
WAIRA-10002,anselmacorbacho@olive.com,paid,2024-06-29 16:57:07.000000 UTC,fulfilled,2024-07-01 15:57:07.000000 UTC,true,PEN,358.92,10,0,368.92,,0.0,Estándar,2024-06-29 15:57:07.000000 UTC,1,Vestido Camila Mujer - Rojo - S,174.49,,VEST-CAM-ROJ-S,true,true,fulfilled,Octavia Ainara Quiroga Llobet,Ronda de Verónica Galiano 80 Apt. 89 ,Ronda de Verónica Galiano 80 Apt. 89 ,,,Surquillo,41749,PE-LIM,PE,+34959 44 37 85,Octavia Ainara Quiroga Llobet,Ronda de Verónica Galiano 80 Apt. 89 ,Ronda de Verónica Galiano 80 Apt. 89 ,,,Surquillo,41749,PE-LIM,PE,+34959 44 37 85,,,,Yape,3d3fa89b-eb3f-4de9-b231-1b1ba6a849c6,0,WAIRA,1.4442415910244073e+19,,Low,web,0,,,,,,,,,,,+34959 44 37 85,,,Lima (Departamento),Lima (Departamento),6873a206-0aa2-43f8-9fe9-46377531984c,,,
WAIRA-10002,anselmacorbacho@olive.com,paid,2024-06-29 16:57:07.000000 UTC,fulfilled,2024-07-01 15:57:07.000000 UTC,true,PEN,358.92,10,0,368.92,,0.0,Estándar,2024-06-29 15:57:07.000000 UTC,1,Polo Diego Hombre - Marrón - XL,184.43,,POLO-DIE-MAR-XL,true,true,fulfilled,Octavia Ainara Quiroga Llobet,Ronda de Verónica Galiano 80 Apt. 89 ,Ronda de Verónica Galiano 80 Apt. 89 ,,,Surquillo,41749,PE-LIM,PE,+34959 44 37 85,Octavia Ainara Quiroga Llobet,Ronda de Verónica Galiano 80 Apt. 89 ,Ronda de Verónica Galiano 80 Apt. 89 ,,,Surquillo,41749,PE-LIM,PE,+34959 44 37 85,,,,Yape,485d41ea-038a-4feb-9366-1fa09742a8ac,0,WAIRA,1.1964724863400694e+19,,Low,web,0,,,,,,,,,,,+34959 44 37 85,,,Lima (Departamento),Lima (Departamento),70534c31-eb22-4d2b-bd51-db4ec4b3051c,,,
WAIRA-10003,qperez@sanchez-cuadrado.es,paid,2024-12-12 21:29:05.000000 UTC,fulfilled,2024-12-14 20:29:05.000000 UTC,true,PEN,281.54,10,0,291.54,,0.0,Estándar,2024-12-12 20:29:05.000000 UTC,2,Saco Sofía Mujer - Verde - XS,140.77,,SACO-SOF-VER-XS,true,true,fulfilled,Morena Folch Belmonte,Rambla Jose Miguel Blazquez 2,Rambla Jose Miguel Blazquez 2,,,Lince,57050,PE-LIM,PE,+34889 18 63 50,Morena Folch Belmonte,Rambla Jose Miguel Blazquez 2,Rambla Jose Miguel Blazquez 2,,,Lince,57050,PE-LIM,PE,+34889 18 63 50,,,,Mercado Pago,270f2941-4906-4c8a-9956-95095b1fc6cc,0,WAIRA,3.8063161312511866e+17,,Low,web,0,,,,,,,,,,,+34889 18 63 50,,,Lima (Departamento),Lima (Departamento),1cc565c9-0188-4353-9bd1-20c15340755e,,,
WAIRA-10004,ruy90@gmail.com,paid,2023-04-09 21:29:33.000000 UTC,fulfilled,2023-04-11 20:29:33.000000 UTC,true,PEN,330.3,10,0,340.3,,0.0,Estándar,2023-04-09 20:29:33.000000 UTC,1,Falda Nicolás - Rojo - M,161.45,,FALD-NIC-ROJ-M,true,true,fulfilled,Leandro Campo Serrano,Via Celia Arce 11 Puerta 7 ,Via Celia Arce 11 Puerta 7 ,,,Surquillo,15637,PE-LIM,PE,+34 978 89 39 27,Leandro Campo Serrano,Via Celia Arce 11 Puerta 7 ,Via Celia Arce 11 Puerta 7 ,,,Surquillo,15637,PE-LIM,PE,+34 978 89 39 27,,,,Mercado Pago,e161c28c-c696-48b5-8833-2bce9f8a27a9,0,WAIRA,3.9438505056497352e+18,,Low,web,0,,,,,,,,,,,+34 978 89 39 27,,,Lima (Departamento),Lima (Departamento),efb081d1-ec5e-40a3-920a-b1f2af9fdc66,,,
WAIRA-10004,ruy90@gmail.com,paid,2023-04-09 21:29:33.000000 UTC,fulfilled,2023-04-11 20:29:33.000000 UTC,true,PEN,330.3,10,0,340.3,,0.0,Estándar,2023-04-09 20:29:33.000000 UTC,1,Saco Fernanda Mujer - Blanco - L,168.85,223.15,SACO-FER-BLA-L,true,true,fulfilled,Leandro Campo Serrano,Via Celia Arce 11 Puerta 7 ,Via Celia Arce 11 Puerta 7 ,,,Surquillo,15637,PE-LIM,PE,+34 978 89 39 27,Leandro Campo Serrano,Via Celia Arce 11 Puerta 7 ,Via Celia Arce 11 Puerta 7 ,,,Surquillo,15637,PE-LIM,PE,+34 978 89 39 27,,,,Mercado Pago,72e692d4-fecc-4299-858d-1031800296c0,0,WAIRA,3.7907105144410803e+18,,Low,web,0,,,,,,,,,,,+34 978 89 39 27,,,Lima (Departamento),Lima (Departamento),ee27fbac-fb64-4a24-ab79-18ff8da61989,,,
WAIRA-10005,ruperta14@canete.es,paid,2024-09-30 08:36:12.000000 UTC,unfulfilled,,true,PEN,866.88,10,0,876.88,,0.0,Estándar,2024-09-30 07:36:12.000000 UTC,3,Casaca Camila Mujer - Blanco - M,136.04,,CASA-CAM-BLA-M,true,true,pending,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,Domitila Luís Nicolau,Callejón Manola Armas 47,Callejón Manola Armas 47,,,San Isidro,91509,PE-LIM,PE,+34712 817 485,,,,Visa,e87cdd3b-9cf7-40b8-ac73-d8e658a4ba82,0,WAIRA,3.5066106373104778e+18,,Low,web,0,,,,,,,,,,,+34712 817 485,,,Lima (Departamento),Lima (Departamento),2d9cbddc-9344-44f0-97b7-13f24a268761,,,
