date,hour,order_id,user_id,financial_status,lineitem_sku,lineitem_name,lineitem_variant,color,genero,categoria,lineitem_quantity,lineitem_price,lineitem_total,lineitem_compare_at_price,lineitem_discount,lineitem_percent_discount,range_discount,discount_filter,con_descuento_items,sin_descuento_items
2023-01-09,13,WAIRA-10000,javiera95@montesinos.net,paid,CASA-ARA-VER-S,Casaca Araceli,S,Verde,Unisex,Casaca,1,94.4,94.4,147.93,54.0,36.19,Descuento entre 30% y 40%,Con descuento,1,0
2023-01-09,13,WAIRA-10000,javiera95@montesinos.net,paid,PANT-DIE-VER-S,Pantalón Diego Hombre,S,Verde,Hombre,Pantalón,1,90.9,90.9,109.32,18.0,16.85,Descuento entre 10% y 20%,Con descuento,1,0
2023-04-09,20,WAIRA-10004,ruy90@gmail.com,paid,SACO-FER-BLA-L,Saco Fernanda Mujer,L,Blanco,Mujer,Saco,1,168.85,168.85,223.15,54.0,24.33,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-30,7,WAIRA-10005,ruperta14@canete.es,paid,SHOR-PED-ROS-M,Short Pedro Hombre,M,Rosado,Hombre,Short,1,161.79,161.79,183.43,22.0,11.8,Descuento entre 10% y 20%,Con descuento,1,0
2024-09-30,7,WAIRA-10005,ruperta14@canete.es,paid,CHOM-FID-ROS-M,Chompa Fidela,M,Rosado,Unisex,Chompa,3,98.99,296.97,139.21,40.0,28.89,Descuento entre 20% y 30%,Con descuento,3,0
2023-06-04,9,WAIRA-10007,lidia87@galan.org,paid,PANT-BLA-ROS-M,Pantalón Blas,M,Rosado,Unisex,Pantalón,2,140.8,281.6,175.67,35.0,19.85,Descuento entre 20% y 30%,Con descuento,2,0
2023-06-04,9,WAIRA-10007,lidia87@galan.org,paid,SACO-LAL-NEG-S,Saco Lalo,S,Negro,Unisex,Saco,1,173.6,173.6,183.76,10.0,5.53,Sin descuento,Con descuento,1,0
2024-08-22,23,WAIRA-10008,hernan33@gmail.com,paid,CASA-DIE-NEG-M,Casaca Diego Hombre,M,Negro,Hombre,Casaca,1,84.7,84.7,103.15,18.0,17.89,Descuento entre 10% y 20%,Con descuento,1,0
2024-08-22,23,WAIRA-10008,hernan33@gmail.com,paid,PANT-ADE-ROS-XS,Pantalón Adelardo,XS,Rosado,Unisex,Pantalón,1,143.61,143.61,175.94,32.0,18.38,Descuento entre 10% y 20%,Con descuento,1,0
2023-03-24,18,WAIRA-10009,emma15@aguila.net,paid,FALD-DIE-VER-M,Falda Diego Hombre,M,Verde,Hombre,Falda,1,140.09,140.09,176.92,37.0,20.82,Descuento entre 20% y 30%,Con descuento,1,0
2023-03-24,18,WAIRA-10009,emma15@aguila.net,paid,SHOR-GER-BEI-M,Short Geraldo,M,Beige,Unisex,Short,1,112.08,112.08,150.04,38.0,25.3,Descuento entre 20% y 30%,Con descuento,1,0
2023-10-03,18,WAIRA-10013,zairasotelo@bermudez-verdejo.es,paid,CASA-TEO-NEG-XS,Casaca Teodosio,XS,Negro,Unisex,Casaca,1,164.03,164.03,190.2,26.0,13.76,Descuento entre 10% y 20%,Con descuento,1,0
2023-10-03,18,WAIRA-10013,zairasotelo@bermudez-verdejo.es,paid,CHOM-MIG-VER-M,Chompa Miguel Hombre,M,Verde,Hombre,Chompa,1,134.76,134.76,147.66,13.0,8.74,Sin descuento,Con descuento,1,0
2023-01-20,18,WAIRA-10014,ambar91@banos.net,paid,CASA-AND-ROJ-M,Casaca Andrea Mujer,M,Rojo,Mujer,Casaca,1,176.36,176.36,200.0,24.0,11.82,Descuento entre 10% y 20%,Con descuento,1,0
2023-01-20,18,WAIRA-10014,ambar91@banos.net,paid,CAMI-MIL-AZU-XS,Camisa Milagros,XS,Azul Marino,Unisex,Camisa,1,163.51,163.51,205.62,42.0,20.48,Descuento entre 20% y 30%,Con descuento,1,0
2024-09-02,12,WAIRA-10015,ponsadolfo@gmail.com,pending,VEST-LUC-BLA-M,Vestido Lucía Mujer,M,Blanco,Mujer,Vestido,1,191.21,191.21,219.64,28.0,12.94,Descuento entre 10% y 20%,Con descuento,1,0
2023-09-01,19,WAIRA-10017,salvador47@solano.com,paid,CAMI-CAM-BEI-M,Camisa Camila Mujer,M,Beige,Mujer,Camisa,1,166.86,166.86,189.16,22.0,11.79,Descuento entre 10% y 20%,Con descuento,1,0
2024-05-04,11,WAIRA-10018,leyrepujadas@soriano.net,paid,SACO-DIE-VER-M,Saco Diego Hombre,M,Verde,Hombre,Saco,1,84.92,84.92,119.13,34.0,28.72,Descuento entre 20% y 30%,Con descuento,1,0
2024-05-04,11,WAIRA-10018,leyrepujadas@soriano.net,paid,VEST-MIG-AZU-M,Vestido Miguel Hombre,M,Azul Marino,Hombre,Vestido,1,87.28,87.28,117.41,30.0,25.66,Descuento entre 20% y 30%,Con descuento,1,0
2024-05-04,11,WAIRA-10018,leyrepujadas@soriano.net,paid,CAMI-CAR-AZU-M,Camisa Carla Mujer,M,Azul,Mujer,Camisa,1,152.95,152.95,189.97,37.0,19.49,Descuento entre 20% y 30%,Con descuento,1,0
2023-09-21,16,WAIRA-10019,sainzbuenaventura@hotmail.com,paid,FALD-SOF-NEG-M,Falda Sofía Mujer,M,Negro,Mujer,Falda,1,139.47,139.47,194.91,55.0,28.44,Descuento entre 20% y 30%,Con descuento,1,0
2023-09-21,16,WAIRA-10019,sainzbuenaventura@hotmail.com,paid,CHOM-JUA-MAR-XS,Chompa Juan Hombre,XS,Marrón,Hombre,Chompa,1,194.44,194.44,211.79,17.0,8.19,Sin descuento,Con descuento,1,0
2023-09-21,16,WAIRA-10019,sainzbuenaventura@hotmail.com,paid,SHOR-PED-ROS-L,Short Pedro Hombre,L,Rosado,Hombre,Short,1,104.57,104.57,159.83,55.0,34.57,Descuento entre 30% y 40%,Con descuento,1,0
2024-10-29,9,WAIRA-10021,seguitrinidad@gmail.com,paid,CASA-FER-BLA-M,Casaca Fernanda Mujer,M,Blanco,Mujer,Casaca,1,175.82,175.82,186.2,10.0,5.57,Sin descuento,Con descuento,1,0
2024-10-29,9,WAIRA-10021,seguitrinidad@gmail.com,paid,CASA-CHE-MAR-M,Casaca Che,M,Marrón,Unisex,Casaca,1,168.72,168.72,210.02,41.0,19.66,Descuento entre 20% y 30%,Con descuento,1,0
2023-08-09,10,WAIRA-10022,inocencio63@gmail.com,paid,FALD-FER-AZU-L,Falda Fernanda Mujer,L,Azul,Mujer,Falda,3,142.16,426.48,187.06,45.0,24.0,Descuento entre 20% y 30%,Con descuento,3,0
2024-11-01,14,WAIRA-10024,amando34@abad.es,pending,FALD-NAD-BEI-XS,Falda Nadia,XS,Beige,Unisex,Falda,1,166.76,166.76,200.59,34.0,16.87,Descuento entre 10% y 20%,Con descuento,1,0
2024-11-01,14,WAIRA-10024,amando34@abad.es,pending,CAMI-GUI-GRI-M,Camisa Guiomar,M,Gris,Unisex,Camisa,1,165.0,165.0,215.02,50.0,23.26,Descuento entre 20% y 30%,Con descuento,1,0
2023-09-23,19,WAIRA-10027,vitovalencia@hoz.es,paid,FALD-DIE-NEG-M,Falda Diego Hombre,M,Negro,Hombre,Falda,1,165.94,165.94,212.61,47.0,21.95,Descuento entre 20% y 30%,Con descuento,1,0
