date,hour,order_id,user_id,financial_status,categoria,genero,billing_city,payment_method,discount_code,discount_amount,subtotal
2023-12-12,0,WAIRA-10052,iban02@duran.com,paid,Vestido,Hombre,Barranco,Visa,,0.0,389.99
2023-01-11,0,WAIRA-10061,palomoestrella@yahoo.com,paid,Pantalón,Mujer,Pueblo Libre,Yape,,0.0,432.13
2024-04-12,0,WAIRA-10133,eduardoseco@hotmail.com,paid,Casaca,Unisex,La Molina,Yape,,0.0,410.63
2024-04-30,0,WAIRA-10147,tere41@gmail.com,paid,Polera,Mujer,Jesús María,Mercado Pago,,0.0,412.22
2024-07-12,0,WAIRA-10151,camilo54@hotmail.com,paid,Polo,Unisex,La Victoria,Mercado Pago,,0.0,689.59
2024-05-03,0,WAIRA-10165,tudelaricarda@gmail.com,paid,Vestido,Unisex,Lince,Mercado Pago,,0.0,332.48
2023-07-02,0,WAIRA-10191,gjorda@baro.es,pending,Vestido,Unisex,Santiago de Surco,Yape,,0.0,627.46
2024-07-01,0,WAIRA-10242,fontmaximiliano@lastra-soto.org,paid,Chompa,Mujer,Pueblo Libre,Visa,,0.0,690.18
2023-10-15,0,WAIRA-10250,vtormo@macias-cepeda.es,paid,Pantalón,Unisex,Santiago de Surco,Mercado Pago,,0.0,308.07
2023-01-13,0,WAIRA-10280,rcanizares@rosa-cervera.es,paid,Vestido,Mujer,San Borja,Yape,BIENVENIDA,49.0,440.37
2023-12-16,0,WAIRA-10367,arranzeligio@cerezo.es,paid,Polo,Unisex,Lince,Mercado Pago,,0.0,732.04
2023-02-14,0,WAIRA-10376,jovitatejada@hotmail.com,paid,Casaca,Hombre,Miraflores,Mercado Pago,,0.0,155.52
2024-10-29,0,WAIRA-10397,cebrianpellicer@guijarro-vina.es,paid,Saco,Hombre,San Borja,Transferencia,,0.0,349.98
2023-12-03,0,WAIRA-10424,encarna37@yahoo.com,paid,Falda,Unisex,Miraflores,Transferencia,,0.0,169.6
2024-09-29,0,WAIRA-10446,spascual@yahoo.com,paid,Polera,Mujer,Surquillo,Transferencia,,0.0,166.92
2023-09-27,0,WAIRA-10506,ursula46@hotmail.com,pending,Pantalón,Mujer,Surquillo,Mercado Pago,,0.0,181.85
2023-01-17,0,WAIRA-10590,lucianosoto@hotmail.com,paid,Falda,Mujer,Lince,Mercado Pago,,0.0,153.91
2024-03-26,0,WAIRA-10699,wtorrijos@oliveras-grande.com,paid,Casaca,Mujer,San Borja,Yape,,0.0,212.65
2024-01-30,0,WAIRA-10727,criadogabriela@hotmail.com,paid,Vestido,Unisex,Miraflores,Mercado Pago,,0.0,780.96
2024-08-12,0,WAIRA-10758,constanzacarlos@gmail.com,paid,Vestido,Unisex,Surquillo,Mercado Pago,,0.0,437.26
2023-12-24,0,WAIRA-10784,riberaetelvina@gmail.com,paid,Blusa,Hombre,Pueblo Libre,Mercado Pago,,0.0,160.08
2024-10-03,0,WAIRA-10800,fernando50@mas-company.es,paid,Falda,Unisex,Barranco,Yape,,0.0,512.6
